EngSize,Age,Gender,Marital,exp,Owner,vAge,Garage,AntiTFD,import,Loss
1.8,62,M,married,15,company,3,Y,N,Domestic,0
1.8,50,M,married,15,company,3,Y,N,Domestic,0
1.6,49,M,married,15,personal,3,Y,N,Domestic,0
1.8,49,M,married,15,personal,3,Y,N,Imported,0
2,49,M,married,15,company,3,Y,N,Domestic,0
3,44,M,married,15,government,3,Y,N,Imported,0
1.8,40,M,married,15,company,3,N,N,Domestic,0
1.8,37,M,married,15,government,3,Y,N,Domestic,0
2,49,M,married,15,personal,2,Y,Y,Imported,2846
2.3,49,M,married,15,personal,2,Y,Y,Imported,0
1.8,48,M,married,15,company,2,Y,N,Imported,0
1.6,47,M,married,15,company,2,Y,Y,Domestic,0
1.6,46,M,married,15,personal,2,N,N,Domestic,0
1.8,45,M,married,15,company,2,Y,N,Domestic,160
1.8,41,M,married,15,personal,2,N,Y,Domestic,0
1.8,36,M,married,15,government,2,Y,N,Domestic,0
1.6,52,M,married,15,personal,1,Y,N,Domestic,0
1.8,48,M,married,15,personal,1,Y,Y,Domestic,0
1.6,44,M,married,15,company,1,Y,N,Domestic,0
2.8,44,M,married,15,company,1,Y,Y,Imported,0
2.8,43,M,married,15,company,1,Y,N,Imported,0
1.6,41,M,married,15,company,1,Y,N,Domestic,0
1.8,41,M,married,15,personal,1,Y,N,Domestic,0
1.8,41,M,married,15,personal,1,Y,N,Imported,0
2,41,M,married,15,personal,1,Y,N,Imported,2484
1.8,40,M,married,15,government,1,Y,Y,Domestic,0
1.5,39,M,married,15,company,1,Y,N,Domestic,0
1.6,38,M,married,15,company,1,N,N,Domestic,0
2.4,38,F,married,15,personal,1,Y,Y,Imported,0
1.8,37,M,married,15,company,1,Y,Y,Domestic,0
1.8,37,M,married,15,personal,1,Y,N,Domestic,0
2,37,M,married,15,company,1,N,N,Imported,3040
1.8,36,M,married,15,company,1,Y,Y,Domestic,0
1.8,36,M,married,15,personal,1,Y,Y,Domestic,384
1.6,35,F,married,15,personal,1,Y,N,Domestic,0
1.8,35,M,married,15,personal,1,Y,Y,Domestic,0
1.8,35,M,married,15,company,1,Y,N,Domestic,340.5
1.8,34,M,married,15,personal,1,N,N,Domestic,0
2.4,34,M,married,15,personal,1,Y,N,Imported,0
1.8,44,M,married,14,personal,10,Y,N,Domestic,4376
1.8,41,M,married,14,personal,10,N,Y,Domestic,0
1.6,45,M,married,14,company,9,N,N,Domestic,0
1.8,38,M,married,14,government,9,Y,Y,Domestic,0
1.8,55,M,married,14,company,8,N,N,Domestic,0
1.8,37,M,married,14,company,8,Y,N,Imported,0
2,34,M,married,14,company,8,Y,N,Imported,0
2,33,M,married,14,government,8,Y,N,Imported,0
1.8,56,M,married,14,government,7,N,Y,Domestic,0
