City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,mount isa,-20.7333,139.5,5.87,81,1,0.0,AU,1718828938
163,talnakh,69.4865,88.3972,2.54,72,100,0.65,RU,1718828938
164,sibbo,60.3775,25.2691,15.65,66,40,3.09,FI,1718828938
165,le morne-rouge,14.7667,-61.1333,27.76,69,85,5.36,MQ,1718828939
166,el grao,39.798,-0.1321,25.75,61,0,1.05,ES,1718828939
167,okhotsk,59.3833,143.3,8.69,91,100,2.24,RU,1718828940
168,jhanjharpur,26.2667,86.2833,26.57,86,97,5.71,IN,1718828940
169,santa croce camerina,36.8289,14.5268,26.82,41,0,1.54,IT,1718828940
170,neryungri,56.6709,124.6491,6.16,93,23,0.46,RU,1718828941
171,gadzhiyevo,69.2551,33.3362,8.55,95,100,7.4,RU,1718828941
172,mezhdurechenskiy,59.6,65.9333,13.74,79,100,3.92,RU,1718828941
173,berdigestyakh,62.0989,126.6992,9.93,95,46,1.29,RU,1718828942
174,pemalang,-6.9,109.3667,24.07,79,58,2.29,ID,1718828942
175,suntar,62.1444,117.6319,11.67,69,23,3.86,RU,1718828942
176,pyt-yakh,60.7499,72.8582,4.0,57,8,1.86,RU,1718828943
177,viedma,-40.8135,-62.9967,9.29,33,5,6.56,AR,1718828943
178,lagoa,39.05,-27.9833,18.07,63,40,1.58,PT,1718828943
179,lompoc,34.6391,-120.4579,28.21,72,0,6.17,US,1718828944
180,richards bay,-28.783,32.0377,19.28,82,37,3.54,ZA,1718828944
181,trochtelfingen,48.3084,9.2449,17.47,99,100,0.9,DE,1718828945
182,berwick-upon-tweed,55.7833,-2.0,16.13,79,92,6.21,GB,1718828945
183,bamboo flat,11.7,92.7167,27.05,94,40,1.03,IN,1718828946
184,porto novo,6.4965,2.6036,27.9,87,47,2.89,BJ,1718828947
185,tinajo,29.0788,-13.7081,20.49,64,40,7.2,ES,1718828947
186,hargeysa,9.56,44.065,24.79,52,99,8.29,SO,1718828948
187,mocimboa,-11.3167,40.35,23.09,93,8,3.5,MZ,1718828949
188,upington,-28.4478,21.2561,11.1,44,54,4.23,ZA,1718828949
189,hasaki,35.7333,140.8333,17.94,85,44,2.71,JP,1718828949
190,rossford,41.6098,-83.5644,34.49,56,0,3.09,US,1718828950
191,charkhari,25.4,79.75,31.8,55,100,7.86,IN,1718828950
192,fale old settlement,-9.3852,-171.2468,29.17,73,99,7.85,TK,1718828950
193,hermanus,-34.4187,19.2345,13.42,75,100,0.63,ZA,1718828951
194,tobruk,32.0836,23.9764,24.02,84,0,5.49,LY,1718828951
195,cody,44.5263,-109.0565,21.06,31,20,2.24,US,1718828952
196,lebu,-37.6167,-73.65,10.3,84,100,4.87,CL,1718828952
197,turpan,42.9333,89.1667,31.04,20,33,5.52,CN,1718828952
198,marsassoum,12.8275,-15.9806,29.75,66,99,4.36,SN,1718828953
199,magadan,59.5667,150.8,9.81,87,100,0.37,RU,1718828953
200,gutao,37.2025,112.1781,22.74,54,2,2.36,CN,1718828954
201,ouarzazat,30.9189,-6.8934,27.16,12,0,10.8,MA,1718828954
202,murmashi,68.8154,32.8115,10.23,100,75,2.0,RU,1718828955
203,plastun,44.7561,136.2939,13.87,99,100,0.46,RU,1718828955
204,tindouf,27.6711,-8.1474,30.25,20,0,9.26,DZ,1718828956
205,nar'yan-mar,67.6713,53.087,7.77,57,100,6.14,RU,1718828956
206,vuktyl,63.8567,57.3094,12.58,56,77,3.65,RU,1718828957
207,chyorny yar,48.0624,46.1091,24.42,45,1,3.49,RU,1718828957
208,kerikeri,-35.2268,173.9474,12.17,95,100,2.24,NZ,1718828957
209,st. john's,47.5649,-52.7093,22.93,67,75,4.12,CA,1718828958
210,dalnegorsk,44.5604,135.5701,15.73,98,100,1.49,RU,1718828958
211,kolonia town,6.964,158.206,26.0,94,100,0.0,FM,1718828959
212,le port,-20.9373,55.2919,21.0,70,20,1.94,RE,1718828959
213,newman,37.3138,-121.0208,30.69,7,6,0.75,US,1718828959
214,san juan de miraflores,-12.1629,-76.9635,17.87,85,82,3.61,PE,1718828960
215,mugia,43.1041,-9.2179,16.76,89,70,7.41,ES,1718828960
216,tshabong,-26.05,22.45,12.92,31,0,3.13,BW,1718828960
217,puerto baquerizo moreno,-0.9,-89.6,24.55,83,100,6.17,EC,1718828961
218,agat village,13.3886,144.6585,28.06,85,40,2.57,GU,1718828961
219,souillac,-20.5167,57.5167,23.21,68,75,5.66,MU,1718828961
220,ardakan,32.31,54.0175,30.33,15,47,1.79,IR,1718828962
221,dunedin,-45.8742,170.5036,7.67,92,100,3.13,NZ,1718828962
222,tazovsky,67.4667,78.7,-0.58,97,100,6.57,RU,1718828962
223,ndola,-12.9587,28.6366,15.3,44,0,0.7,ZM,1718828963
224,la'ie,21.6477,-157.9253,27.98,65,64,4.02,US,1718828963
225,sitka,57.0531,-135.33,12.94,76,100,2.57,US,1718828964
226,mata-utu,-13.2816,-176.1745,28.29,81,30,7.04,WF,1718828964
227,erseke,40.3378,20.6789,20.99,56,0,2.17,AL,1718828964
228,vernon,50.2581,-119.2691,23.75,32,94,1.03,CA,1718828953
229,cobija,-11.0267,-68.7692,35.1,49,40,3.09,BO,1718828965
230,nadym,65.5333,72.5167,-0.73,84,15,2.16,RU,1718828966
231,ola,59.5833,151.2833,8.87,88,99,1.12,RU,1718828966
232,waddan,29.1614,16.139,30.32,27,0,8.99,LY,1718828966
233,severo-yeniseyskiy,60.3725,93.0408,-0.12,94,0,1.91,RU,1718828967
234,kodinsk,58.6881,99.1844,7.28,82,100,5.06,RU,1718828967
235,arraial do cabo,-22.9661,-42.0278,25.98,73,0,3.6,BR,1718828967
236,palikir - national government center,6.9248,158.1611,25.41,94,100,0.0,FM,1718828968
237,cuito,-12.3833,16.9333,12.74,30,0,0.64,AO,1718828968
238,ust-nera,64.5667,143.2,17.38,60,43,1.43,RU,1718828968
239,hue,16.4667,107.6,30.06,66,20,1.03,VN,1718828969
240,meizhou,24.2977,116.1072,24.57,98,100,1.04,CN,1718828969
241,nabire,-3.3667,135.4833,23.55,93,100,1.41,ID,1718828969
242,margaret river,-33.95,115.0667,9.06,81,0,2.92,AU,1718828970
243,jining,35.405,116.5814,22.59,86,0,1.94,CN,1718828970
244,jalqani,12.4486,34.2186,30.54,49,17,4.33,SD,1718828970
245,lata,40.1629,-8.3327,16.71,89,80,2.21,PT,1718828971
246,khandyga,62.6667,135.6,11.79,85,100,1.37,RU,1718828971
247,ketchikan,55.3422,-131.6461,16.26,72,20,3.09,US,1718828971
